Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
121 - 5108,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,600,"5a,8a,8b",3.0,3863,0009,0285,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5108,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,600,5b,0.1,3863,0009,0285,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5193,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,920,5a,0.3,3820,0008,0083,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5193,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,920,5b,1.4,3820,0008,0083,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5193,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,921,2a,0.3,3820,0008,0083,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5193,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,921,5c,0.2,3820,0008,0083,Plynas kirtimas,2022-01-01,2022-12-31
121 - 5338,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,46,36,0.7,3828,0002,0115,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 5339,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,11,31,0.2,3828,0002,0338,Atvejinis kirtimas,2022-01-01,2022-12-31
121 - 5367,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,24,5a,0.4,3828,0003,0130,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 5370,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,24,3,1.9,3828,0003,0152,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 5370,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,24,3,2.2,3828,0003,0152,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
221 - 1274,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Ančios girininkija,83,18e,2.5,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1274,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Ančios girininkija,85,33,3.8,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1274,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Ančios girininkija,92,33,1.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1288,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Krosnos girininkija,55,13,2.2,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1288,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Krosnos girininkija,74,3e,4.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1288,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Krosnos girininkija,76,2f,2.6,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1291,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,13,"1e,2",1.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1291,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,6,11,0.6,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
221 - 1291,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,7,46,0.9,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
221 - 1291,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,7,52,1.7,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
222 - 161,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,20,13,0.4,0,0,0,Plynas kirtimas,2022-01-07,2022-12-31
221 - 1289,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Seirijų girininkija,2,19f,2.6,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
222 - 160,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Stalų girininkija,24,5,1.3,0,0,0,Atvejinis kirtimas,2022-01-07,2022-12-31
222 - 160,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Stalų girininkija,37,7,1.7,0,0,0,Atvejinis kirtimas,2022-01-07,2022-12-31
121 - 4869,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Veisiejų girininkija,52,7a,0.7,5918,0005,0102,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
121 - 4869,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Veisiejų girininkija,52,7c,0.3,5918,0005,0102,Plynas kirtimas,2022-01-01,2022-12-31
121 - 4918,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Veisiejų girininkija,52,7c,0.1,5918,0005,0102,Plynas kirtimas,2022-01-01,2022-12-31
122 - 133,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Veisiejų girininkija,463,"48,49",1.4,5901,0006,0361,Plynas kirtimas,2022-01-04,2022-12-31
221 - 1290,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Veisiejų girininkija,18,17,1.3,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1290,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Veisiejų girininkija,21,3e,0.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1290,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Veisiejų miškų urėdija,Veisiejų girininkija,21,4,0.2,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1267,Alytaus,Alytaus teritorinis poskyris,valstybinė,Druskininkų miškų urėdija,Musteikos girininkija,231,13,0.4,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1267,Alytaus,Alytaus teritorinis poskyris,valstybinė,Druskininkų miškų urėdija,Musteikos girininkija,231,7,0.8,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1267,Alytaus,Alytaus teritorinis poskyris,valstybinė,Druskininkų miškų urėdija,Musteikos girininkija,362,38e,1.5,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
222 - 36,Alytaus,Alytaus teritorinis poskyris,valstybinė,Marijampolės miškų urėdija,Kalvarijos girininkija,32,"35,41",2.6,0,0,0,Plynas kirtimas,2022-01-03,2022-12-31
222 - 36,Alytaus,Alytaus teritorinis poskyris,valstybinė,Marijampolės miškų urėdija,Kalvarijos girininkija,35,101,2.7,0,0,0,Plynas kirtimas,2022-01-03,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,56,17,2.5,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,62,2,1.0,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,62,3,0.8,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,65,53,0.8,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,65,60,0.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
222 - 53,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Birštono girininkija,65,60,1.0,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1259,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Išlaužo girininkija,40,"2,3,11,44",2.0,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1259,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Išlaužo girininkija,40,"2,7,8",2.3,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1259,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Išlaužo girininkija,44,"15,26",2.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1259,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Išlaužo girininkija,58,"8,9,17,18,21-24,27,28",5.3,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1238,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Meškapievio girininkija,50,"28,43",1.0,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1238,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Meškapievio girininkija,50,37,1.4,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
221 - 1238,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Meškapievio girininkija,51,8,1.2,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
221 - 1236,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Naujosios Ūtos girininkija,10,5,0.5,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
221 - 1236,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Naujosios Ūtos girininkija,10,6,1.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1236,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Naujosios Ūtos girininkija,47,24,4.4,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
221 - 1236,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Naujosios Ūtos girininkija,55,37,1.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1236,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Naujosios Ūtos girininkija,60,5,1.8,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,16,"22,39,43",4.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,16,69,2.1,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,28,"3,6,7",2.2,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,29,8,2.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,31,18,0.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,31,20,0.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1297,Alytaus,Alytaus teritorinis poskyris,valstybinė,Prienų miškų urėdija,Verknės girininkija,31,7,2.0,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
222 - 80,Alytaus,Alytaus teritorinis poskyris,valstybinė,Valkininkų miškų urėdija,Vėžionių girininkija,39,17,0.1,0,0,0,Plynas kirtimas,2022-01-04,2022-12-31
222 - 80,Alytaus,Alytaus teritorinis poskyris,valstybinė,Valkininkų miškų urėdija,Vėžionių girininkija,7,3e,1.5,0,0,0,Plynas kirtimas,2022-01-04,2022-12-31
222 - 80,Alytaus,Alytaus teritorinis poskyris,valstybinė,Valkininkų miškų urėdija,Vėžionių girininkija,7,3f,0.1,0,0,0,Atvejinis kirtimas,2022-01-04,2022-12-31
222 - 81,Alytaus,Alytaus teritorinis poskyris,valstybinė,Valkininkų miškų urėdija,Žilinų girininkija,142,5,0.8,0,0,0,Plynas kirtimas,2022-01-04,2022-12-31
222 - 81,Alytaus,Alytaus teritorinis poskyris,valstybinė,Valkininkų miškų urėdija,Žilinų girininkija,150,1,2.6,0,0,0,Plynas kirtimas,2022-01-04,2022-12-31
222 - 140,Alytaus,Alytaus teritorinis poskyris,valstybinė,Varėnos miškų urėdija,Marcinkonių girininkija,214,10,1.0,0,0,0,Plynas kirtimas,2022-01-06,2022-12-31
222 - 136,Alytaus,Alytaus teritorinis poskyris,valstybinė,Varėnos miškų urėdija,Matuizų girininkija,847,15,1.0,0,0,0,Atvejinis kirtimas,2022-01-05,2022-12-31
222 - 136,Alytaus,Alytaus teritorinis poskyris,valstybinė,Varėnos miškų urėdija,Matuizų girininkija,847,33,0.3,0,0,0,Plynas kirtimas,2022-01-05,2022-12-31
222 - 136,Alytaus,Alytaus teritorinis poskyris,valstybinė,Varėnos miškų urėdija,Matuizų girininkija,874,"15e,16,17e",3.1,0,0,0,Plynas kirtimas,2022-01-05,2022-12-31
221 - 1265,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Baltašiškės girininkija,1,"29f,31",3.9,0,0,0,Atvejinis kirtimas,2022-01-01,2022-12-31
221 - 1265,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Baltašiškės girininkija,2,"17e,19",2.8,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1265,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Baltašiškės girininkija,3,9b,4.1,0,0,0,Atvejinių kirtimų (paskutinis atvejis),2022-01-01,2022-12-31
221 - 1273,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Kapčiamiesčio girininkija,115,"47e,48",2.4,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1273,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Kapčiamiesčio girininkija,769,"53e,56e",1.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
222 - 54,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Leipalingio girininkija,22,15,3.6,0,0,0,Plynas kirtimas,2022-01-03,2022-12-31
221 - 1275,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Stalų girininkija,23,10g,3.5,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1275,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Stalų girininkija,23,10h,2.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1275,Alytaus,Alytaus teritorinis poskyris,valstybinė,Veisiejų miškų urėdija,Stalų girininkija,23,10k,2.6,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
121 - 4716,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Grūto girininkija,105,44c,0.6,3878,0005,0161,Plynas kirtimas,2022-01-03,2022-12-31
122 - 75,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Grūto girininkija,171,25,0.4,3805,0001,0236,Plynas kirtimas,2022-01-04,2022-12-31
122 - 75,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Grūto girininkija,171,"25a,31",2.2,3805,0001,0236,Atvejinis kirtimas,2022-01-04,2022-12-31
221 - 1286,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Grūto girininkija,279,13e,1.1,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1286,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Grūto girininkija,279,14e,2.0,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
121 - 4687,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,251,31,0.4,3810,0001,0272,Plynas kirtimas,2022-01-03,2022-12-31
121 - 4687,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,263,14,0.4,3810,0001,0272,Plynas kirtimas,2022-01-03,2022-12-31
121 - 4699,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,276,24,0.6,3810,0005,0090,Plynas kirtimas,2022-01-03,2022-12-31
121 - 4699,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,276,"34,35",1.5,3810,0005,0090,Plynas kirtimas,2022-01-03,2022-12-31
121 - 4703,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,887,21a,1.5,3830,0002,0092,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 4719,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,141,27,0.8,3830,0007,0046,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 4719,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,141,"37a,37c",1.1,3830,0007,0046,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 4719,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,141,9,1.0,3830,0007,0046,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 4737,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,228,8c,0.7,3810,0004,0104,Plynas kirtimas,2022-01-03,2022-12-31
121 - 4738,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,888,10b,5.4,3830,0002,0153,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 4749,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,887,42b,0.2,3830,0002,0058,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 5014,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,906,1,0.2,3830,0002,0055,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 5034,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,240,12b,1.1,3810,0001,0152,Plynas kirtimas,2022-01-03,2022-12-31
121 - 5036,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,204,19a,0.6,3830,0001,0060,Atvejinis kirtimas,2022-01-03,2022-12-31
121 - 5036,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,204,19e,1.6,3830,0001,0060,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
121 - 5036,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,212,23d,0.6,3830,0001,0060,Atvejinių kirtimų (paskutinis atvejis),2022-01-03,2022-12-31
122 - 157,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,140,8a,2.6,3830,0007,0026,Atvejinių kirtimų (paskutinis atvejis),2022-01-05,2022-12-31
122 - 157,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,141,8a,4.9,3830,0007,0026,Atvejinių kirtimų (paskutinis atvejis),2022-01-05,2022-12-31
122 - 222,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,898,"10a,10c",4.2,3830,0002,0184,Atvejinių kirtimų (paskutinis atvejis),2022-01-07,2022-12-31
122 - 248,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Kabelių girininkija,243,23b,1.5,3810,0001,0035,Plynas kirtimas,2022-01-07,2022-12-31
221 - 1268,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,388,18e,1.3,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1268,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,388,19e,1.4,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1268,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,442,10e,0.9,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1268,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,442,11e,1.5,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1269,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,253,5,3.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1269,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,319,65,1.5,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1269,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,388,22,2.8,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1269,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Kabelių girininkija,442,5e,3.0,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
221 - 1285,Alytaus,Druskininkų miesto kontroliuojama teritorija,valstybinė,Druskininkų miškų urėdija,Latežerio girininkija,342,24,1.7,0,0,0,Plynas kirtimas,2022-01-01,2022-12-31
